"Match","Start Time","Winner","Red Team (1)","Red Team (2)","Red Team (3)","Red Team (Sitting)","Red Score","Blue Team (1)","Blue Team (2)","Blue Team (3)","Blue Team (Sitting)","Blue Score"
"Qualifier #1","2019-07-17T20:00:00Z","red","42700D","27301A","None","None","26","4109A","843H","None","None","10"
"Qualifier #2","2019-07-17T20:06:00Z","blue","60066A","3303D","None","None","3","21000C","4413X","None","None","17"
"Qualifier #3","2019-07-17T20:12:00Z","red","2437B","2585V","None","None","20","2459C","18190A","None","None","8"
"Qualifier #4","2019-07-17T20:18:00Z","blue","5968A","375X","None","None","5","5626A","51666A","None","None","44"
"Qualifier #5","2019-07-17T20:24:00Z","red","359A","4142B","None","None","29","316V","4442X","None","None","21"
"Qualifier #6","2019-07-17T20:30:00Z","red","369A","25461Z","None","None","60","1973A","394A","None","None","12"
"Qualifier #7","2019-07-17T20:36:00Z","blue","18186Z","375X","None","None","16","3303D","2585V","None","None","26"
"Qualifier #8","2019-07-17T20:42:00Z","blue","5626A","21000C","None","None","23","42700D","4142B","None","None","35"
"Qualifier #9","2019-07-17T20:48:00Z","blue","4442X","843H","None","None","32","25461Z","60066A","None","None","46"
"Qualifier #10","2019-07-17T20:54:00Z","red","316V","1973A","None","None","15","5968A","2437B","None","None","13"
"Qualifier #11","2019-07-17T21:00:00Z","red","51666A","2459C","None","None","40","394A","18186Z","None","None","27"
"Qualifier #12","2019-07-17T21:06:00Z","blue","18190A","4109A","None","None","12","27301A","369A","None","None","31"
"Qualifier #13","2019-07-17T21:12:00Z","blue","359A","4413X","None","None","0","5626A","25461Z","None","None","32"
"Qualifier #14","2019-07-17T21:18:00Z","blue","2437B","18186Z","None","None","12","21000C","51666A","None","None","35"
"Qualifier #15","2019-07-17T21:24:00Z","blue","316V","1973A","None","None","11","843H","369A","None","None","21"
"Qualifier #16","2019-07-17T21:30:00Z","blue","4142B","60066A","None","None","8","4109A","375X","None","None","30"
"Qualifier #17","2019-07-17T21:36:00Z","blue","2585V","4442X","None","None","31","5968A","42700D","None","None","33"
"Qualifier #19","2019-07-17T21:48:00Z","blue","4413X","27301A","None","None","16","2459C","316V","None","None","24"
"Qualifier #20","2019-07-17T21:54:00Z","red","4442X","4109A","None","None","46","1973A","2437B","None","None","6"
"Qualifier #21","2019-07-17T23:00:00Z","blue","3303D","5626A","None","None","25","369A","843H","None","None","32"
"Qualifier #22","2019-07-17T23:06:00Z","red","25461Z","51666A","None","None","56","27301A","21000C","None","None","10"
"Qualifier #23","2019-07-17T23:12:00Z","tie","2459C","5968A","None","None","22","18190A","359A","None","None","22"
"Qualifier #24","2019-07-17T23:18:00Z","red","394A","42700D","None","None","28","4413X","375X","None","None","13"
"Qualifier #25","2019-07-17T23:24:00Z","blue","60066A","18186Z","None","None","27","4142B","2585V","None","None","32"
"Qualifier #26","2019-07-17T23:30:00Z","red","21000C","369A","None","None","63","5968A","4109A","None","None","20"
"Qualifier #27","2019-07-17T23:36:00Z","blue","394A","3303D","None","None","26","2459C","4442X","None","None","48"
"Qualifier #28","2019-07-17T23:42:00Z","blue","843H","359A","None","None","18","1973A","2585V","None","None","34"
"Qualifier #29","2019-07-17T23:48:00Z","red","25461Z","4142B","None","None","56","4413X","18190A","None","None","6"
"Qualifier #30","2019-07-17T23:54:00Z","red","5626A","27301A","None","None","32","18186Z","42700D","None","None","21"
"Qualifier #31","2019-07-18T00:00:00Z","red","51666A","2437B","None","None","27","316V","60066A","None","None","0"
"Qualifier #32","2019-07-18T00:06:00Z","blue","375X","21000C","None","None","20","4442X","2459C","None","None","62"
"Qualifier #33","2019-07-18T00:12:00Z","red","1973A","4142B","None","None","56","27301A","3303D","None","None","31"
